File Name,Rule Title,Rule ID,Rule Description,Chinese Title,Chinese Description,Level,References,Tags,Logsource,Fields,FalsePositive,Error Translation,Detection,SPL Query
lnx_file_copy.yml,Remote File Copy,7a14080d-a048-4de8-ae58-604ce58a795b,Detects the use of tools that copy files from or to remote systems,远程文件副本,检测使用将文件从远程系统复制或将文件复制到远程系统的使用,low,https://attack.mitre.org/techniques/T1105/,"attack.command_and_control, attack.lateral_movement, attack.t1105","product: linux, service: None",,['Legitimate administration activities'],,"{'tools': ['scp ', 'rsync ', 'sftp '], 'filter': ['@', ':'], 'condition': 'tools and filter'}","""scp "" OR ""rsync "" OR ""sftp "" ""@"" OR "":"""
lnx_shell_clear_cmd_history.yml,Linux Command History Tampering,fdc88d25-96fb-4b7c-9633-c0e417fdbd4e,"Detects commands that try to clear or tamper with the Linux command history.
This technique is used by threat actors in order to evade defenses and execute commands without them being recorded in files such as ""bash_history"" or ""zsh_history"".
",Linux命令历史记录篡改,"检测试图清除Linux命令历史记录的命令。
威胁参与者使用此技术来逃避防御和执行命令，而无需记录在“ bash_history”或“ zsh_history”之类的文件中。",high,"https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1070.003/T1070.003.md, https://www.hackers-arise.com/post/2016/06/20/covering-your-bash-shell-tracks-antiforensics, https://www.cadosecurity.com/spinning-yarn-a-new-linux-malware-campaign-targets-docker-apache-hadoop-redis-and-confluence/","attack.defense_evasion, attack.t1070.003","product: linux, service: None",,['Unknown'],,"{'keywords': ['cat /dev/null >*sh_history', 'cat /dev/zero >*sh_history', 'chattr +i*sh_history', 'echo """" >*sh_history', 'empty_bash_history', 'export HISTFILESIZE=0', 'history -c', 'history -w', 'ln -sf /dev/null *sh_history', 'ln -sf /dev/zero *sh_history', 'rm *sh_history', 'shopt -ou history', 'shopt -uo history', 'shred *sh_history', 'truncate -s0 *sh_history'], 'condition': 'keywords'}","""cat /dev/null >*sh_history"" OR ""cat /dev/zero >*sh_history"" OR ""chattr +i*sh_history"" OR ""echo \""\"" >*sh_history"" OR ""empty_bash_history"" OR ""export HISTFILESIZE=0"" OR ""history -c"" OR ""history -w"" OR ""ln -sf /dev/null *sh_history"" OR ""ln -sf /dev/zero *sh_history"" OR ""rm *sh_history"" OR ""shopt -ou history"" OR ""shopt -uo history"" OR ""shred *sh_history"" OR ""truncate -s0 *sh_history"""
lnx_shellshock.yml,Shellshock Expression,c67e0c98-4d39-46ee-8f6b-437ebf6b950e,Detects shellshock expressions in log files,Shellshock表达,检测日志文件中的ShellShock表达式,high,https://owasp.org/www-pdf-archive/Shellshock_-_Tudor_Enache.pdf,"attack.persistence, attack.t1505.003","product: linux, service: None",,['Unknown'],,"{'keywords': ['(){:;};', '() {:;};', '() { :;};', '() { :; };'], 'condition': 'keywords'}","""(){:;};"" OR ""() {:;};"" OR ""() { :;};"" OR ""() { :; };"""
lnx_apt_equationgroup_lnx.yml,Equation Group Indicators,41e5c73d-9983-4b69-bd03-e13b67e9623c,Detects suspicious shell commands used in various Equation Group scripts and tools,方程组指标,检测各种方程组脚本和工具中使用的可疑壳命令,high,https://medium.com/@shadowbrokerss/dont-forget-your-base-867d304a94b1,"attack.execution, attack.g0020, attack.t1059.004","product: linux, service: None",,['Unknown'],,"{'keywords': ['chown root*chmod 4777 ', 'cp /bin/sh .;chown', 'chmod 4777 /tmp/.scsi/dev/bin/gsh', 'chown root:root /tmp/.scsi/dev/bin/', 'chown root:root x;', '/bin/telnet locip locport < /dev/console | /bin/sh', '/tmp/ratload', 'ewok -t ', 'xspy -display ', 'cat > /dev/tcp/127.0.0.1/80 <<END', 'rm -f /current/tmp/ftshell.latest', 'ghost_* -v ', ' --wipe > /dev/null', 'ping -c 2 *; grep * /proc/net/arp >/tmp/gx', 'iptables * OUTPUT -p tcp -d 127.0.0.1 --tcp-flags RST RST -j DROP;', '> /var/log/audit/audit.log; rm -f .', 'cp /var/log/audit/audit.log .tmp', 'sh >/dev/tcp/* <&1 2>&1', 'ncat -vv -l -p * <', 'nc -vv -l -p * <', '< /dev/console | uudecode && uncompress', 'sendmail -osendmail;chmod +x sendmail', '/usr/bin/wget -O /tmp/a http* && chmod 755 /tmp/cron', 'chmod 666 /var/run/utmp~', 'chmod 700 nscd crond', 'cp /etc/shadow /tmp/.', '</dev/console |uudecode > /dev/null 2>&1 && uncompress', 'chmod 700 jp&&netstat -an|grep', 'uudecode > /dev/null 2>&1 && uncompress -f * && chmod 755', 'chmod 700 crond', 'wget http*; chmod +x /tmp/sendmail', 'chmod 700 fp sendmail pt', 'chmod 755 /usr/vmsys/bin/pipe', 'chmod -R 755 /usr/vmsys', 'chmod 755 $opbin/*tunnel', 'chmod 700 sendmail', 'chmod 0700 sendmail', '/usr/bin/wget http*sendmail;chmod +x sendmail;', '&& telnet * 2>&1 </dev/console'], 'condition': 'keywords'}","""chown root*chmod 4777 "" OR ""cp /bin/sh .;chown"" OR ""chmod 4777 /tmp/.scsi/dev/bin/gsh"" OR ""chown root:root /tmp/.scsi/dev/bin/"" OR ""chown root:root x;"" OR ""/bin/telnet locip locport < /dev/console | /bin/sh"" OR ""/tmp/ratload"" OR ""ewok -t "" OR ""xspy -display "" OR ""cat > /dev/tcp/127.0.0.1/80 <<END"" OR ""rm -f /current/tmp/ftshell.latest"" OR ""ghost_* -v "" OR "" --wipe > /dev/null"" OR ""ping -c 2 *; grep * /proc/net/arp >/tmp/gx"" OR ""iptables * OUTPUT -p tcp -d 127.0.0.1 --tcp-flags RST RST -j DROP;"" OR ""> /var/log/audit/audit.log; rm -f ."" OR ""cp /var/log/audit/audit.log .tmp"" OR ""sh >/dev/tcp/* <&1 2>&1"" OR ""ncat -vv -l -p * <"" OR ""nc -vv -l -p * <"" OR ""< /dev/console | uudecode && uncompress"" OR ""sendmail -osendmail;chmod +x sendmail"" OR ""/usr/bin/wget -O /tmp/a http* && chmod 755 /tmp/cron"" OR ""chmod 666 /var/run/utmp~"" OR ""chmod 700 nscd crond"" OR ""cp /etc/shadow /tmp/."" OR ""</dev/console |uudecode > /dev/null 2>&1 && uncompress"" OR ""chmod 700 jp&&netstat -an|grep"" OR ""uudecode > /dev/null 2>&1 && uncompress -f * && chmod 755"" OR ""chmod 700 crond"" OR ""wget http*; chmod +x /tmp/sendmail"" OR ""chmod 700 fp sendmail pt"" OR ""chmod 755 /usr/vmsys/bin/pipe"" OR ""chmod -R 755 /usr/vmsys"" OR ""chmod 755 $opbin/*tunnel"" OR ""chmod 700 sendmail"" OR ""chmod 0700 sendmail"" OR ""/usr/bin/wget http*sendmail;chmod +x sendmail;"" OR ""&& telnet * 2>&1 </dev/console"""
lnx_nimbuspwn_privilege_escalation_exploit.yml,Nimbuspwn Exploitation,7ba05b43-adad-4c02-b5e9-c8c35cdf9fa8,Detects exploitation of Nimbuspwn privilege escalation vulnerability (CVE-2022-29799 and CVE-2022-29800),Nimbuspwn开发,检测NIMBUSPWN特权升级脆弱性的剥削（CVE-2022-29799和CVE-2022-29800）,high,"https://www.microsoft.com/security/blog/2022/04/26/microsoft-finds-new-elevation-of-privilege-linux-vulnerability-nimbuspwn/, https://github.com/Immersive-Labs-Sec/nimbuspwn","attack.privilege_escalation, attack.t1068","product: linux, service: None",,['Unknown'],,"{'keywords': {'|all': ['networkd-dispatcher', 'Error handling notification for interface', '../../']}, 'condition': 'keywords'}","""networkd-dispatcher"" ""Error handling notification for interface"" ""../../"""
lnx_privileged_user_creation.yml,Privileged User Has Been Created,0ac15ec3-d24f-4246-aa2a-3077bb1cf90e,"Detects the addition of a new user to a privileged group such as ""root"" or ""sudo""",已创建了特权用户,检测到“ root”或“ sudo”等特权组中添加新用户,high,"https://digital.nhs.uk/cyber-alerts/2018/cc-2825, https://linux.die.net/man/8/useradd, https://github.com/redcanaryco/atomic-red-team/blob/25acadc0b43a07125a8a5b599b28bbc1a91ffb06/atomics/T1136.001/T1136.001.md#atomic-test-5---create-a-new-user-in-linux-with-root-uid-and-gid","attack.persistence, attack.t1136.001, attack.t1098","product: linux, service: None",,['Administrative activity'],,"{'selection_new_user': ['new user'], 'selection_uids_gids': ['GID=0', 'UID=0', 'GID=10', 'GID=27'], 'condition': 'all of selection_*'}","""new user"" ""GID=0"" OR ""UID=0"" OR ""GID=10"" OR ""GID=27"""
lnx_buffer_overflows.yml,Buffer Overflow Attempts,18b042f0-2ecd-4b6e-9f8d-aa7a7e7de781,Detects buffer overflow attempts in Unix system log files,缓冲区溢出尝试,在UNIX系统日志文件中检测缓冲区溢出尝试,high,https://github.com/ossec/ossec-hids/blob/1ecffb1b884607cb12e619f9ab3c04f530801083/etc/rules/attack_rules.xml,"attack.t1068, attack.privilege_escalation","product: linux, service: None",,['Unknown'],,"{'keywords': ['attempt to execute code on stack by', 'FTP LOGIN FROM .* 0bin0sh', 'rpc.statd[\\d+]: gethostbyname error for', 'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA'], 'condition': 'keywords'}","""attempt to execute code on stack by"" OR ""FTP LOGIN FROM .* 0bin0sh"" OR ""rpc.statd[\\d+]: gethostbyname error for"" OR ""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"""
lnx_symlink_etc_passwd.yml,Symlink Etc Passwd,c67fc22a-0be5-4b4f-aad5-2b32c4b69523,Detects suspicious command lines that look as if they would create symbolic links to /etc/passwd,symlink等passwd,检测到可疑命令行，看起来好像会创建指向 /etc /passwd的符号链接,high,https://www.qualys.com/2021/05/04/21nails/21nails.txt,"attack.t1204.001, attack.execution","product: linux, service: None",,['Unknown'],,"{'keywords': ['ln -s -f /etc/passwd', 'ln -s /etc/passwd'], 'condition': 'keywords'}","""ln -s -f /etc/passwd"" OR ""ln -s /etc/passwd"""
lnx_shell_susp_rev_shells.yml,Suspicious Reverse Shell Command Line,738d9bcf-6999-4fdb-b4ac-3033037db8ab,Detects suspicious shell commands or program code that may be executed or used in command line to establish a reverse shell,可疑的反向外壳命令行,检测可疑的外壳命令或可能在命令行中执行或使用的程序代码建立反向外壳,high,https://alamot.github.io/reverse_shells/,"attack.execution, attack.t1059.004","product: linux, service: None",,['Unknown'],,"{'keywords': ['BEGIN {s = ""/inet/tcp/0/', 'bash -i >& /dev/tcp/', 'bash -i >& /dev/udp/', 'sh -i >$ /dev/udp/', 'sh -i >$ /dev/tcp/', '&& while read line 0<&5; do', '/bin/bash -c exec 5<>/dev/tcp/', '/bin/bash -c exec 5<>/dev/udp/', 'nc -e /bin/sh ', '/bin/sh | nc', 'rm -f backpipe; mknod /tmp/backpipe p && nc ', ';socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i))))', ';STDIN->fdopen($c,r);$~->fdopen($c,w);system$_ while<>;', '/bin/sh -i <&3 >&3 2>&3', 'uname -a; w; id; /bin/bash -i', '$sendbyte = ([text.encoding]::ASCII).GetBytes($sendback2); $stream.Write($sendbyte,0,$sendbyte.Length); $stream.Flush()};', "";os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);os.putenv('HISTFILE','/dev/null');"", '.to_i;exec sprintf(""/bin/sh -i <&%d >&%d 2>&%d"",f,f,f)', ';while(cmd=c.gets);IO.popen(cmd,""r""){|io|c.print', ""socat exec:'bash -li',pty,stderr,setsid,sigint,sane tcp:"", 'rm -f /tmp/p; mknod /tmp/p p &&', ' | /bin/bash | telnet ', ',echo=0,raw tcp-listen:', 'nc -lvvp ', 'xterm -display 1'], 'condition': 'keywords'}","""BEGIN {s = \""/inet/tcp/0/"" OR ""bash -i >& /dev/tcp/"" OR ""bash -i >& /dev/udp/"" OR ""sh -i >$ /dev/udp/"" OR ""sh -i >$ /dev/tcp/"" OR ""&& while read line 0<&5; do"" OR ""/bin/bash -c exec 5<>/dev/tcp/"" OR ""/bin/bash -c exec 5<>/dev/udp/"" OR ""nc -e /bin/sh "" OR ""/bin/sh | nc"" OR ""rm -f backpipe; mknod /tmp/backpipe p && nc "" OR "";socket(S,PF_INET,SOCK_STREAM,getprotobyname(\""tcp\""));if(connect(S,sockaddr_in($p,inet_aton($i))))"" OR "";STDIN->fdopen($c,r);$~->fdopen($c,w);system$_ while<>;"" OR ""/bin/sh -i <&3 >&3 2>&3"" OR ""uname -a; w; id; /bin/bash -i"" OR ""$sendbyte = ([text.encoding]::ASCII).GetBytes($sendback2); $stream.Write($sendbyte,0,$sendbyte.Length); $stream.Flush()};"" OR "";os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);os.putenv('HISTFILE','/dev/null');"" OR "".to_i;exec sprintf(\""/bin/sh -i <&%d >&%d 2>&%d\"",f,f,f)"" OR "";while(cmd=c.gets);IO.popen(cmd,\""r\""){|io|c.print"" OR ""socat exec:'bash -li',pty,stderr,setsid,sigint,sane tcp:"" OR ""rm -f /tmp/p; mknod /tmp/p p &&"" OR "" | /bin/bash | telnet "" OR "",echo=0,raw tcp-listen:"" OR ""nc -lvvp "" OR ""xterm -display 1"""
lnx_susp_dev_tcp.yml,Suspicious Use of /dev/tcp,6cc5fceb-9a71-4c23-aeeb-963abe0b279c,Detects suspicious command with /dev/tcp,可疑使用 /dev /tcp,通过 /dev /tcp检测可疑命令,medium,"https://www.andreafortuna.org/2021/03/06/some-useful-tips-about-dev-tcp/, https://book.hacktricks.xyz/shells/shells/linux, https://github.com/redcanaryco/atomic-red-team/blob/f339e7da7d05f6057fdfcdd3742bfcf365fee2a9/atomics/T1046/T1046.md#atomic-test-1---port-scan",attack.reconnaissance,"product: linux, service: None",,['Unknown'],,"{'keywords': ['cat </dev/tcp/', 'exec 3<>/dev/tcp/', 'echo >/dev/tcp/', 'bash -i >& /dev/tcp/', 'sh -i >& /dev/udp/', '0<&196;exec 196<>/dev/tcp/', 'exec 5<>/dev/tcp/', '(sh)0>/dev/tcp/', ""bash -c 'bash -i >& /dev/tcp/"", ""echo -e '#!/bin/bash\\nbash -i >& /dev/tcp/""], 'condition': 'keywords'}","""cat </dev/tcp/"" OR ""exec 3<>/dev/tcp/"" OR ""echo >/dev/tcp/"" OR ""bash -i >& /dev/tcp/"" OR ""sh -i >& /dev/udp/"" OR ""0<&196;exec 196<>/dev/tcp/"" OR ""exec 5<>/dev/tcp/"" OR ""(sh)0>/dev/tcp/"" OR ""bash -c 'bash -i >& /dev/tcp/"" OR ""echo -e '#!/bin/bash\\nbash -i >& /dev/tcp/"""
lnx_shell_susp_commands.yml,Suspicious Activity in Shell Commands,2aa1440c-9ae9-4d92-84a7-a9e5f5e31695,Detects suspicious shell commands used in various exploit codes (see references),壳命令中的可疑活动,检测各种利用代码中使用的可疑壳命令（请参阅参考）,high,"https://web.archive.org/web/20170319121015/http://www.threatgeek.com/2017/03/widespread-exploitation-attempts-using-cve-2017-5638.html, https://github.com/rapid7/metasploit-framework/blob/eb6535009f5fdafa954525687f09294918b5398d/modules/exploits/multi/http/struts_code_exec_exception_delegator.rb, http://pastebin.com/FtygZ1cg, https://artkond.com/2017/03/23/pivoting-guide/","attack.execution, attack.t1059.004","product: linux, service: None",,['Unknown'],,"{'keywords': ['wget * - http* | perl', 'wget * - http* | sh', 'wget * - http* | bash', 'python -m SimpleHTTPServer', '-m http.server', 'import pty; pty.spawn*', 'socat exec:*', 'socat -O /tmp/*', 'socat tcp-connect*', '*echo binary >>*', '*wget *; chmod +x*', '*wget *; chmod 777 *', '*cd /tmp || cd /var/run || cd /mnt*', '*stop;service iptables stop;*', '*stop;SuSEfirewall2 stop;*', 'chmod 777 2020*', '*>>/etc/rc.local', '*base64 -d /tmp/*', '* | base64 -d *', '*/chmod u+s *', '*chmod +s /tmp/*', '*chmod u+s /tmp/*', '* /tmp/haxhax*', '* /tmp/ns_sploit*', 'nc -l -p *', 'cp /bin/ksh *', 'cp /bin/sh *', '* /tmp/*.b64 *', '*/tmp/ysocereal.jar*', '*/tmp/x *', '*; chmod +x /tmp/*', '*;chmod +x /tmp/*'], 'condition': 'keywords'}","""wget * - http* | perl"" OR ""wget * - http* | sh"" OR ""wget * - http* | bash"" OR ""python -m SimpleHTTPServer"" OR ""-m http.server"" OR ""import pty; pty.spawn*"" OR ""socat exec:*"" OR ""socat -O /tmp/*"" OR ""socat tcp-connect*"" OR ""*echo binary >>*"" OR ""*wget *; chmod +x*"" OR ""*wget *; chmod 777 *"" OR ""*cd /tmp || cd /var/run || cd /mnt*"" OR ""*stop;service iptables stop;*"" OR ""*stop;SuSEfirewall2 stop;*"" OR ""chmod 777 2020*"" OR ""*>>/etc/rc.local"" OR ""*base64 -d /tmp/*"" OR ""* | base64 -d *"" OR ""*/chmod u+s *"" OR ""*chmod +s /tmp/*"" OR ""*chmod u+s /tmp/*"" OR ""* /tmp/haxhax*"" OR ""* /tmp/ns_sploit*"" OR ""nc -l -p *"" OR ""cp /bin/ksh *"" OR ""cp /bin/sh *"" OR ""* /tmp/*.b64 *"" OR ""*/tmp/ysocereal.jar*"" OR ""*/tmp/x *"" OR ""*; chmod +x /tmp/*"" OR ""*;chmod +x /tmp/*"""
lnx_clear_syslog.yml,Commands to Clear or Remove the Syslog - Builtin,e09eb557-96d2-4de9-ba2d-30f712a5afd3,Detects specific commands commonly used to remove or empty the syslog,命令清除或删除Syslog -内置,检测通常用于删除或清空Syslog的特定命令,high,https://www.virustotal.com/gui/file/fc614fb4bda24ae8ca2c44e812d12c0fab6dd7a097472a35dd12ded053ab8474,"attack.impact, attack.t1565.001","product: linux, service: None",,['Log rotation'],,"{'selection': ['rm /var/log/syslog', 'rm -r /var/log/syslog', 'rm -f /var/log/syslog', 'rm -rf /var/log/syslog', 'mv /var/log/syslog', ' >/var/log/syslog', ' > /var/log/syslog'], 'falsepositives': ['/syslog.'], 'condition': 'selection and not falsepositives'}","""rm /var/log/syslog"" OR ""rm -r /var/log/syslog"" OR ""rm -f /var/log/syslog"" OR ""rm -rf /var/log/syslog"" OR ""mv /var/log/syslog"" OR "" >/var/log/syslog"" OR "" > /var/log/syslog"" NOT ""/syslog."""
lnx_ldso_preload_injection.yml,Code Injection by ld.so Preload,7e3c4651-c347-40c4-b1d4-d48590fdf684,Detects the ld.so preload persistence file. See `man ld.so` for more information.,ld.so注入代码,检测LD.SO预付持续文件。有关更多信息，请参见“ Man Ld.so”。,high,https://man7.org/linux/man-pages/man8/ld.so.8.html,"attack.persistence, attack.privilege_escalation, attack.t1574.006","product: linux, service: None",,['Rare temporary workaround for library misconfiguration'],,"{'keywords': ['/etc/ld.so.preload'], 'condition': 'keywords'}","""/etc/ld.so.preload"""
lnx_potential_susp_ebpf_activity.yml,Potential Suspicious BPF Activity - Linux,0fadd880-6af3-4610-b1e5-008dc3a11b8a,"Detects the presence of ""bpf_probe_write_user"" BPF helper-generated warning messages. Which could be a sign of suspicious eBPF activity on the system.",潜在的可疑BPF活动-Linux,检测“ BPF_PROBE_WRITE_USER”的存在BPF Helper生成的警告消息。这可能是系统上可疑活动的迹象。,high,"https://redcanary.com/blog/ebpf-malware/, https://man7.org/linux/man-pages/man7/bpf-helpers.7.html","attack.persistence, attack.defense_evasion","product: linux, service: None",,['Unknown'],,"{'selection': ['bpf_probe_write_user'], 'condition': 'selection'}","""bpf_probe_write_user"""
lnx_space_after_filename_.yml,Space After Filename,879c3015-c88b-4782-93d7-07adf92dbcb7,Detects space after filename,文件名之后的空间,检测文件名之后的空间,low,https://attack.mitre.org/techniques/T1064,attack.execution,"product: linux, service: None",,['Typos'],,"{'selection1': ['echo ""*"" > * && chmod +x *'], 'selection2': ['mv * ""* ""'], 'condition': 'all of selection*'}","""echo \""*\"" > * && chmod +x *"" ""mv * \""* \"""""
lnx_susp_jexboss.yml,JexBoss Command Sequence,8ec2c8b4-557a-4121-b87c-5dfb3a602fae,Detects suspicious command sequence that JexBoss,jexboss命令序列,检测Jexboss的可疑命令序列,high,https://www.us-cert.gov/ncas/analysis-reports/AR18-312A,"attack.execution, attack.t1059.004","product: linux, service: None",,['Unknown'],,"{'selection1': ['bash -c /bin/bash'], 'selection2': ['&/dev/tcp/'], 'condition': 'all of selection*'}","""bash -c /bin/bash"" ""&/dev/tcp/"""
lnx_shell_susp_log_entries.yml,Suspicious Log Entries,f64b6e9a-5d9d-48a5-8289-e1dd2b3876e1,Detects suspicious log entries in Linux log files,可疑的日志条目,检测Linux日志文件中的可疑日志条目,medium,https://github.com/ossec/ossec-hids/blob/master/etc/rules/syslog_rules.xml,attack.impact,"product: linux, service: None",,['Unknown'],,"{'keywords': ['entered promiscuous mode', 'Deactivating service', 'Oversized packet received from', 'imuxsock begins to drop messages'], 'condition': 'keywords'}","""entered promiscuous mode"" OR ""Deactivating service"" OR ""Oversized packet received from"" OR ""imuxsock begins to drop messages"""
